prompt,answer,llm_answer,llm_answer__1,llm_answer__2,llm_answer__3,llm_answer__4,llm_answer__5,fleek_score,selfcheck_nli_score,selfcheck_bert_score,lm_v_lm_score,lbhd_score,ground_truth
"Summarize the following article in a single, short sentence:

<article>
The ex-Reading defender denied fraudulent trading charges relating to the Sodje Sports Foundation - a charity to raise money for Nigerian sport.
Mr Sodje, 37, is jointly charged with elder brothers Efe, 44, Bright, 50 and Stephen, 42.
Appearing at the Old Bailey earlier, all four denied the offence.
The charge relates to offences which allegedly took place between 2008 and 2014.
Sam, from Kent, Efe and Bright, of Greater Manchester, and Stephen, from Bexley, are due to stand trial in July.
They were all released on bail.
</article>",Former Premier League footballer Sam Sodje has appeared in court alongside three brothers accused of charity fraud.,"(['Ex', '-', 'Reading', ' defender', ' denies', ' fraudulent', ' trading', ' charges', ' linked', ' to', ' charity', '.'], [-0.07439624, -0.06710212, -0.00019793781, -0.0035165679, -0.39567515, -0.079364054, -0.10039903, -0.015424627, -1.1239384, -0.00093444786, -0.0372151, -0.008763945], [0.9283037898632692, 0.935099704078989, 0.9998020817783959, 0.9964896079834722, 0.6732253576767718, 0.923703585240964, 0.9044764327878023, 0.9846937232747413, 0.3249973014232335, 0.9990659886004412, 0.96346887090443, 0.9912743464230253], 'Ex-Reading defender denies fraudulent trading charges linked to charity.')","(None, None, None, 'Ex-Reading defender denies fraudulent trading charges linked to charity.')","(None, None, None, 'Ex-Reading defender denies fraudulent trading charges linked to charity.')","(None, None, None, 'Former footballer denies fraudulent trading charges linked to charity.')","(None, None, None, 'Ex-Reading defender denies fraudulent charity trading charges.')","(None, None, None, 'Ex-Reading defender denies fraudulent trading charges related to charity.')",0.0,0.0956879874021979,0.0879169940948486,1.0,"{'avg': 0.885383399169628, 'normalized_product': 0.8530725904254792, 'min': 0.3249973014232335, 'concepts': [{'Reading defender': {'avg': 0.998145844880934, 'normalized_product': 0.9981444707718483, 'min': 0.9964896079834722}}, {'denies fraudulent trading charges': {'avg': 0.8715247747450698, 'normalized_product': 0.8626763258091525, 'min': 0.6732253576767718}}, {'linked to charity': {'avg': 0.8197016268377825, 'normalized_product': 0.746236299767029, 'min': 0.3249973014232335}}]}",0.0
"Summarize the following article in a single, short sentence:

<article>
Voges was forced to retire hurt on 86 after suffering the injury while batting during the County Championship draw with Somerset on 4 June.
Middlesex hope to have the Australian back for their T20 Blast game against Hampshire at Lord's on 3 August.
The 37-year-old has scored 230 runs in four first-class games this season at an average of 57.50.
""Losing Adam is naturally a blow as he contributes significantly to everything we do,"" director of cricket Angus Fraser said.
""His absence, however, does give opportunities to other players who are desperate to play in the first XI.
""In the past we have coped well without an overseas player and I expect us to do so now.""
Defending county champions Middlesex are sixth in the Division One table, having drawn all four of their matches this season.
Voges retired from international cricket in February with a Test batting average of 61.87 from 31 innings, second only to Australian great Sir Donald Bradman's career average of 99.94 from 52 Tests.
</article>",Middlesex batsman Adam Voges will be out until August after suffering a torn calf muscle in his right leg.,"(['Adam', ' Vog', 'es', ' ret', 'ires', ' hurt', ',', ' Middle', 'sex', ' hopeful', ' for', ' T', '20', ' return', '.'], [-0.20236003, -3.0545007e-06, -1.4617256e-05, -0.8911004, 0.0, -0.026028898, -1.3325151, -0.32696128, -9.014684e-06, -0.88217145, -0.0074544726, -0.2830161, -4.8425554e-06, -0.3197383, -0.0050968993], [0.8168008022055512, 0.999996945503965, 0.9999853828508316, 0.4102041156982971, 1.0, 0.9743069336801568, 0.263812910344681, 0.7211116639296822, 0.9999909853566321, 0.4138832085117574, 0.9925732430695454, 0.7535076562887921, 0.9999951574563252, 0.726339095144707, 0.9949160678511285], 'Adam Voges retires hurt, Middlesex hopeful for T20 return.')","(None, None, None, 'Adam Voges retires hurt, aims to return for T20 Blast.')","(None, None, None, 'Voges retires hurt, potentially returning for T20 Blast game.')","(None, None, None, 'Adam Voges suffers injury in County Championship, Middlesex hopeful for T20 return.')","(None, None, None, 'Adam Voges retires hurt in County Championship, aims for T20 return.')","(None, None, None, 'Adam Voges retires hurt during County Championship, Middlesex anticipates his return for T20 Blast.')",-1.0,0.2880303050857037,0.3430661141872406,1.0,"{'avg': 0.804494944526137, 'normalized_product': 0.7519403370118916, 'min': 0.263812910344681, 'concepts': [{'Adam Voges': {'avg': 0.9389277101867827, 'normalized_product': 0.9347658265788027, 'min': 0.8168008022055512}}, {'retires hurt': {'avg': 0.6620809899307838, 'normalized_product': 0.5698334809605817, 'min': 0.263812910344681}}, {'Middlesex': {'avg': 0.8605513246431571, 'normalized_product': 0.8491791114748427, 'min': 0.7211116639296822}}, {'T20 return': {'avg': 0.8686894941852382, 'normalized_product': 0.8590191744117336, 'min': 0.726339095144707}}]}",0.0
"Summarize the following article in a single, short sentence:

<article>
Seven photographs taken in the Norfolk countryside by photographer Josh Olins will appear in the June edition.
In her first sitting for a magazine, the duchess is seen looking relaxed and wearing casual clothes.
The shoot was in collaboration with the National Portrait Gallery, where two images are being displayed in the Vogue 100: A Century of Style exhibition.
The duchess, who has a keen interest in photography, has been patron of the National Portrait Gallery since 2012.
Nicholas Cullinan, director of the National Portrait Gallery, said: ""Josh has captured the duchess exactly as she is - full of life, with a great sense of humour, thoughtful and intelligent, and in fact, very beautiful.""
He said the images also encapsulated what Vogue had done over the past 100 years - ""to pair the best photographers with the great personalities of the day, in order to reflect broader shifts in culture and society"".
Alexandra Shulman, editor-in-chief of British Vogue, said: ""To be able to publish a photographic shoot with the Duchess of Cambridge has been one of my greatest ambitions for the magazine.""
The collaboration for the June edition had resulted in ""a true celebration of our centenary as well as a fitting tribute to a young woman whose interest in both photography and the countryside is well known"", she said.
Other royal portraits to have featured in the fashion magazine include Diana, Princess of Wales - who graced the cover four times - and Princess Anne.
The duchess is to visit the exhibition at the National Portrait Gallery on Wednesday, Kensington Palace said.
</article>",The Duchess of Cambridge will feature on the cover of British Vogue to mark the magazine's centenary.,"(['Phot', 'ographer', ' captures', ' Duchess', ' of', ' Cambridge', ' in', ' Norfolk', ' countryside', ' for', ' Vogue', '.'], [-0.7025958, -0.011884563, -0.52999616, -0.07269685, -0.0023315283, -0.0001039008, -0.56578374, -0.39498627, -0.0933482, -0.4603293, -0.04818246, -0.046526276], [0.49529793925313614, 0.9881857794798756, 0.5886072299257784, 0.9298826812368538, 0.9976711876009635, 0.9998961045975012, 0.5679148746876791, 0.6736892889393055, 0.9108762779509528, 0.6310757980264264, 0.9529598941514487, 0.954539478761103], 'Photographer captures Duchess of Cambridge in Norfolk countryside for Vogue.')","(None, None, None, 'Photographer Josh Olins captures Duchess of Cambridge in Norfolk countryside for Vogue.')","(None, None, None, 'Photographer Josh Olins captures a relaxed Duchess of Cambridge in Norfolk countryside.')","(None, None, None, 'Photographer captures Duchess of Cambridge in Norfolk for Vogue.')","(None, None, None, 'Duchess of Cambridge featured in Vogue photographs showcasing her personality.')","(None, None, None, ""Duchess of Cambridge's Norfolk photoshoot for Vogue June edition celebrates centenary and reflects on cultural shifts."")",-1.0,0.3251380732748657,0.4266493320465088,1.0,"{'avg': 0.8075497112175852, 'normalized_product': 0.7834376853779365, 'min': 0.49529793925313614, 'concepts': [{'Photographer': {'avg': 0.7417418593665059, 'normalized_product': 0.6996044455087721, 'min': 0.49529793925313614}}, {'Duchess of Cambridge': {'avg': 0.9758166578117727, 'normalized_product': 0.9752669086039539, 'min': 0.9298826812368538}}, {'Norfolk countryside': {'avg': 0.7922827834451291, 'normalized_product': 0.7833566186638488, 'min': 0.6736892889393055}}, {'Vogue': {'avg': 0.9537496864562758, 'normalized_product': 0.9537493594459499, 'min': 0.9529598941514487}}]}",0.0
"Summarize the following article in a single, short sentence:

<article>
Chris Poole - known as ""moot"" online - created the site in 2003.
It has gone on to be closely associated with offensive and often illegal activity, including instances where the images of child abuse were shared.
It was widely credited as being the first place where leaked images of nude celebrities were posted following 2014's well-publicised security breach affecting Apple's iCloud service. That incident prompted a policy change on the site.
However, 4chan has also been the rallying point for many instances of online activism from the likes of Anonymous, the loosely organized hacktivism group.
Mr Poole shared news of his new position on blogging site Tumblr.
""When meeting with current and former Googlers, I continually find myself drawn to their intelligence, passion, and enthusiasm - as well as a universal desire to share it with others.""
""I'm also impressed by Google's commitment to enabling these same talented people to tackle some of the world's most interesting and important problems.
He added: ""I can't wait to contribute my own experience from a dozen years of building online communities, and to begin the next chapter of my career at such an incredible company.""
Mr Poole stepped down as the administrator of 4chan in January 2015. Now he is expected to turn his attentions to Google's social networking efforts.
His arrival was welcomed by Bradley Horowitz, the head of ""streams, photos and sharing"" at the search giant's floundering social network, Google+.
""I'm thrilled he's joining our team here at Google,"" Mr Horowitz said.
""Welcome Chris!ï»¿""
Several commentators described the appointment as ""unexpected"" but noted that Mr Poole's expertise with social media could prove useful to the search firm.
Follow Dave Lee on Twitter @DaveLeeBBC and on Facebook
</article>",Google has hired the creator of one of the web's most notorious forums - 4chan.,"(['Chris', ' Po', 'ole', ',', ' creator', ' of', ' ', '4', 'chan', ',', ' joins', ' Google', ' to', ' enhance', ' social', ' networking', ' efforts', '.'], [-0.09192646, -0.00020985818, -4.3202e-07, -0.039189354, -1.0478648, -3.7265952e-05, -0.05218166, -1.2948405e-05, -0.00016182278, -0.020448457, -0.4260703, -0.00012391969, -0.5491169, -0.62968946, -0.009024005, -0.093748584, -0.40490645, -0.0039489786], [0.9121722282242407, 0.9997901638386876, 0.9999995679800934, 0.9615686150432545, 0.35068573445803686, 0.999962734742367, 0.9491564274240856, 0.9999870516788303, 0.9998381903125998, 0.9797591949012693, 0.6530704296556665, 0.9998760879877276, 0.5774595397959303, 0.5327572177477099, 0.9910165891341275, 0.9105116506636186, 0.6670392094577792, 0.9960588083624367], 'Chris Poole, creator of 4chan, joins Google to enhance social networking efforts.')","(None, None, None, 'Chris Poole, known as ""moot,"" moves from 4chan to Google for new social networking endeavors.')","(None, None, None, 'Chris Poole transitioned from 4chan to Google with a wealth of online community-building experience.')","(None, None, None, 'Chris Poole, creator of 4chan, joins Google for social network efforts.')","(None, None, None, 'Chris Poole, also known as ""moot,"" transitions from controversial 4chan to Google.')","(None, None, None, 'Chris Poole, creator of 4chan, joins Google to boost social networking.')",-1.0,0.2059604663183563,0.324388587474823,1.0,"{'avg': 0.8540671074332474, 'normalized_product': 0.8221344672351202, 'min': 0.35068573445803686, 'concepts': [{'Chris Poole': {'avg': 0.968382643771569, 'normalized_product': 0.9677015783637661, 'min': 0.9121722282242407}}, {'creator of 4chan': {'avg': 0.8798982222528647, 'normalized_product': 0.8296225071132619, 'min': 0.35068573445803686}}, {'joins Google': {'avg': 0.8264732588216971, 'normalized_product': 0.8080776611097304, 'min': 0.6530704296556665}}, {'enhance social networking efforts': {'avg': 0.8194766950731343, 'normalized_product': 0.795914512294606, 'min': 0.5327572177477099}}]}",0.0
"Summarize the following article in a single, short sentence:

<article>
Four police officers were injured in the incident on Friday night.
A man, aged 19, and a boy, aged 16, have been charged with six counts of aggravated vehicle taking.
They are due to appear before Belfast Magistrates' Court on Monday.
The 19-year-old man has also been charged with driving while disqualified and using a motor vehicle without insurance.
</article>",Two teenagers have been charged in connection with an incident in west Belfast in which a car collided with two police vehicles.,"(['Two', ' suspects', ' charged', ' after', ' injuring', ' four', ' police', ' officers', ' in', ' Belfast', '.'], [-0.13915733, -0.44985762, -0.09649896, -0.14103411, -0.13182512, -0.3185237, -0.1697453, -0.00013357517, -0.13372178, -0.7960813, -0.32609388], [0.8700911262522287, 0.6377189435813274, 0.9080108419305344, 0.8684596880324804, 0.8764942629939486, 0.7272218425936725, 0.8438797253926442, 0.9998664337507658, 0.8748334269036677, 0.45109320403472086, 0.7217374275414188], 'Two suspects charged after injuring four police officers in Belfast.')","(None, None, None, 'Two suspects charged after injuring four police officers in vehicle incident.')","(None, None, None, 'Two suspects charged after injuring four police officers in a vehicle taking incident.')","(None, None, None, 'Two suspects, 19 and 16 years old, charged with multiple offenses after injuring four police officers.')","(None, None, None, 'Two suspects charged in Belfast after injuring police officers.')","(None, None, None, 'Police officers injured, suspects charged for vehicle crimes in Belfast.')",0.0,0.6308785676956177,0.2704922556877136,1.0,"{'avg': 0.7981279020915827, 'normalized_product': 0.782158779721987, 'min': 0.45109320403472086, 'concepts': [{'suspects charged': {'avg': 0.772864892755931, 'normalized_product': 0.7609571044916607, 'min': 0.6377189435813274}}, {'injuring four police officers': {'avg': 0.8618655661827579, 'normalized_product': 0.8563664284712591, 'min': 0.7272218425936725}}, {'Belfast': {'avg': 0.5864153157880698, 'normalized_product': 0.5705881602885182, 'min': 0.45109320403472086}}]}",0.0
"Summarize the following article in a single, short sentence:

<article>
The injured pedestrian - a young man - is thought to have been walking with a group of people from a graduation ceremony at the Caird Hall.
The incident took place on High Street at about 18:00.
The man's injuries are believed not to be life-threatening. The driver of the taxi is thought to be uninjured.
</article>",A pedestrian has been struck by a taxi in Dundee after it mounted the pavement.,"(['A', ' young', ' pedestrian', ' was', ' injured', ' in', ' a', ' taxi', ' accident', ' after', ' a', ' graduation', ' ceremony', '.'], [-0.28931615, -0.098025665, -0.3792838, -0.4963291, -0.003058165, -0.43501738, -0.16918209, -0.36379996, -0.07611254, -0.31902233, -0.15760851, -0.00025585614, -0.0040400526, -0.11225507], [0.7487754426221799, 0.9066256349084049, 0.6843513661862828, 0.6087612647705488, 0.9969465064233758, 0.6472534177158781, 0.84435514075956, 0.6950302146818177, 0.9267119085324561, 0.7268593183565415, 0.85418412106056, 0.9997441765883909, 0.9959680974332902, 0.8938162427126988], 'A young pedestrian was injured in a taxi accident after a graduation ceremony.')","(None, None, None, 'A pedestrian was injured in a taxi accident post-graduation, with minor injuries.')","(None, None, None, 'Young man injured in taxi-pedestrian accident after graduation ceremony.')","(None, None, None, 'A young pedestrian was injured in an accident near Caird Hall.')","(None, None, None, 'A young man was injured in a taxi-pedestrian collision after a graduation ceremony.')","(None, None, None, 'A pedestrian was injured after a taxi collision post-graduation.')",0.0,0.2414008014369756,0.2614378929138183,1.0,"{'avg': 0.821925208614802, 'normalized_product': 0.8103271084142011, 'min': 0.6087612647705488, 'concepts': [{'young pedestrian': {'avg': 0.7954885005473438, 'normalized_product': 0.7876867980797145, 'min': 0.6843513661862828}}, {'injured': {'avg': 0.9969465064233758, 'normalized_product': 0.9969465064233758, 'min': 0.9969465064233758}}, {'taxi accident': {'avg': 0.8108710616071368, 'normalized_product': 0.8025539089279361, 'min': 0.6950302146818177}}, {'graduation ceremony': {'avg': 0.9631761722447933, 'normalized_product': 0.9618946687579946, 'min': 0.8938162427126988}}]}",0.0
"Summarize the following article in a single, short sentence:

<article>
Barca will be investigated for alleged misappropriation of funds in the £48.6m (57m euros) deal with Santos.
The signing of Neymar has been correct and his signing has caused despair and envy in some of our adversaries
Rosell, speaking at a news conference after a Barca board meeting, insisted he had ""acted correctly"".
Vice-president Josep Maria Bartomeu now takes over from the 49-year-old Rosell, who came to power in 2010.
Rosell's future has been a real source of concern ever since a Spanish national court judge accepted a lawsuit this week from Barcelona club member Jordi Cases, who alleged that the amount paid for Neymar was more than the reported fee.
Rosell maintains the accusation is ""unfair and reckless"".
He added: ""For some time, my family and myself have suffered threats and attacks in silence. These threats and attacks have made me wonder if being president means having to jeopardise my family.
""From the beginning, I have said the signing of Neymar has been correct and his signing has caused despair and envy in some of our adversaries.""
Rosell said he was resigning to spare the club's board of directors from ""unfair attacks"" that could ""negatively affect their management or the image of the club"".
He added: ""It has been an honour to serve the Barcelonistas. It's been a privilege to be the president of FC Barcelona.""
Rosell was named Barca president in the summer of 2010 after winning a landslide vote to succeed Joan Laporta, earning 61.34% of a record turn-out of 57,088 voters.
He had also been vice-president under Laporta before resigning in 2005.
</article>",Barcelona football club chief Sandro Rosell has resigned following a Spanish court's decision to look into last year's signing of Brazil star Neymar.,"(['Bar', 'ca', ' under', ' investigation', ' for', ' Ney', 'mar', ' deal', ' mis', 'appropri', 'ation', '.'], [-0.045063417, -0.036204316, -0.70920867, -0.00686539, -0.002671019, -0.56531304, -5.3954464e-05, -0.14225842, -0.99768895, -0.0055652824, -0.0009555286, -0.13739079], [0.9559368572631289, 0.9644432221700165, 0.4920334042389315, 0.9931581229506301, 0.9973325449973748, 0.5681822551422477, 0.9999460469915159, 0.8673970747685802, 0.3687306121244385, 0.9944501750956924, 0.9990449277720823, 0.8716295354610287], 'Barca under investigation for Neymar deal misappropriation.')","(None, None, None, 'Barca under investigation for Neymar deal misappropriation.')","(None, None, None, 'Barca faces investigation over alleged funds misappropriation in Neymar deal.')","(None, None, None, 'Barca investigated for Neymar deal, Rosell resigns over allegations.')","(None, None, None, 'Barca under investigation for Neymar funds misappropriation.')","(None, None, None, 'Barca investigated for Neymar deal misconduct; Rosell resigns.')",0.0,0.3592693258309737,0.2029998302459716,0.5,"{'avg': 0.839357064914639, 'normalized_product': 0.8019011780297781, 'min': 0.3687306121244385, 'concepts': [{'Barca under investigation': {'avg': 0.8513929016556767, 'normalized_product': 0.8192750228604064, 'min': 0.4920334042389315}}, {'Neymar deal misappropriation': {'avg': 0.8099115181936553, 'normalized_product': 0.7678390501431734, 'min': 0.3687306121244385}}]}",0.0
"Summarize the following article in a single, short sentence:

<article>
The think tank said the city's 1,536 schools needed to save £360m in the first year if the government's National Funding Formula (NFF) plan goes ahead.
The amount is the equivalent of 12,857 qualified teachers, on an average salary of £28,000.
The government said London was the highest funded part of the country.
It added that under the plans, which are under consultation, inner-city schools would be allocated 30% more money per pupil than the national average.
But London Councils, which represents the city's 32 boroughs and the City, said no school would gain enough funding from the NFF to compensate for increased cost pressures from inflation, higher pension contributions and national insurance.
Ministers said the new formula was needed to tackle uneven levels of funding across England, with the best funded areas getting more than £6,300 per pupil per year, while the worst-funded averaging £4,200.
It said the funding cut was on top of National Audit Office figures which showed England schools faced an eight per cent real-terms cut per pupil by 2019-20 because it  wider cost pressures.
In a statement, London Councils said: ""At a time when UK schools are seen as underperforming by international standards, and when businesses based in London are facing massive uncertainty about recruiting skilled staff, there is an urgent need to invest in schools in London and across the rest of the country.""
It added: ""Without the right qualifications and skills, London's children will be unable to access jobs and contribute to the national economy. Over 60% of jobs in inner London require a degree and around 45% of jobs in the rest of the capital require a degree.""
</article>","About 70% of London schools could face budget cuts under government plans to change how they are funded, according to London Councils.","(['London', ' schools', ' face', ' funding', ' challenges', ' under', ' new', ' National', ' Funding', ' Formula', ',', ' impacting', ' teacher', ' numbers', ' and', ' educational', ' quality', '.'], [-0.03784317, -0.13992645, -0.05595892, -0.11821674, -0.674054, -0.44245532, -0.75753355, -0.15879612, -3.190179e-05, -2.3438328e-05, -0.9238539, -0.6525763, -0.70481116, -0.7795114, -0.03759325, -0.9640235, -0.12072898, -0.0035332015], [0.9628639350016132, 0.8694221790485183, 0.9455779794359396, 0.8885034575044597, 0.5096383104794157, 0.6424570453076436, 0.46882132653429986, 0.8531702855962761, 0.9999680987188567, 0.9999765619466755, 0.3969861442648896, 0.5207025612323759, 0.4942018905299495, 0.45863004320888445, 0.9631046040289978, 0.3813554115367158, 0.8862741250599568, 0.9964730329117808], 'London schools face funding challenges under new National Funding Formula, impacting teacher numbers and educational quality.')","(None, None, None, 'London schools face funding cuts under new government plan, potentially impacting education quality and future workforce.')","(None, None, None, 'London schools face significant funding cuts under proposed National Funding Formula, risking critical educational and economic impacts.')","(None, None, None, ""London's schools face funding challenges under National Funding Formula."")","(None, None, None, 'London schools face funding cuts jeopardizing quality education and workforce future.')","(None, None, None, 'London schools face funding challenges under the National Funding Formula plan, impacting teacher numbers and student outcomes.')",-1.0,0.1495663935318589,0.3035691261291504,0.0,"{'avg': 0.7354514995748472, 'normalized_product': 0.6941399102716563, 'min': 0.3813554115367158, 'concepts': [{'London schools': {'avg': 0.9161430570250657, 'normalized_product': 0.9149509607057273, 'min': 0.8694221790485183}}, {'funding challenges': {'avg': 0.6990708839919377, 'normalized_product': 0.6729155971871154, 'min': 0.5096383104794157}}, {'National Funding Formula': {'avg': 0.8125252726316744, 'normalized_product': 0.7628633647863461, 'min': 0.3969861442648896}}, {'teacher numbers': {'avg': 0.476415966869417, 'normalized_product': 0.47608385228619454, 'min': 0.45863004320888445}}, {'educational quality': {'avg': 0.7547008565028178, 'normalized_product': 0.6957520766379046, 'min': 0.3813554115367158}}]}",0.0
"Summarize the following article in a single, short sentence:

<article>
His 110 means he has scored 323 runs in a week after an unbeaten 93 against Glamorgan in the One-Day Cup and 120 not out against Kent in the T20 Blast.
Tim Murtagh (2-85) reduced Surrey to 23-2 inside the first six overs, before Rory Burns (88) aided the recovery.
Burns and Roy put on a 118-run fourth wicket stand as Surrey closed on 384-8.
Roy's century was a fine retort against Division One leaders Middlesex, who dismissed the England limited-overs opener for a first-ball duck in the One-Day Cup on Tuesday.
After paceman Murtagh removed both Zafar Ansari and Dominic Sibley early on, Surrey's slump continued as James Franklin trapped Aaron Finch (37) to leave them 70-3.
Burns helped turn their fortunes around as he hit 15 fours in his 127-ball knock as the visitors seized the initiative.
Roy hit 16 fours himself as Surrey edged close to the 400 mark by the end of the first day's play, with Ben Foakes unbeaten on 53.
</article>",Jason Roy continued his fine form with a second century in six days as Surrey made a strong start with the bat against Middlesex at Lord's.,"(['S', 'urre', 'y', ""'s"", ' strong', ' batting', ' performance', ' led', ' by', ' Roy', ' and', ' Burns', ' against', ' Middle', 'sex', '.'], [-0.950119, -0.0006765736, -3.7697225e-06, -0.4379645, -0.89905524, -0.033989593, -0.44774145, -0.1544098, -0.0037669474, -0.32253784, -0.013224231, -0.00037395032, -0.18539724, -0.0027008548, -1.3544423e-05, -0.16458294], [0.38669500401092133, 0.9993236552243097, 0.9999962302846054, 0.6453486923292268, 0.4069539519957271, 0.9665815637994982, 0.6390698941945961, 0.8569207829108492, 0.9962401386459774, 0.7243085234538255, 0.986862824970822, 0.9996261195907062, 0.8307742015516953, 0.9973027892269245, 0.9999864556687252, 0.8482474003873053], ""Surrey's strong batting performance led by Roy and Burns against Middlesex."")","(None, None, None, ""Tim Murtagh shines with the ball as Surrey's Burns and Roy lead a recovery against Middlesex."")","(None, None, None, 'Tim Murtagh shines as Surrey and Middlesex battle in a high-scoring cricket match.')","(None, None, None, ""Tim Murtagh starred with the ball and Surrey's Rory Burns and Jason Roy showed impressive batting form in a high-scoring match against Middlesex."")","(None, None, None, ""Surrey's strong batting performance led by Burns and Roy in the match against Middlesex."")","(None, None, None, 'Surrey shows strong batting performances against Middlesex.')",-1.0,0.3761690882151015,0.5096277624368668,1.0,"{'avg': 0.8302648892653572, 'normalized_product': 0.7976903079428234, 'min': 0.38669500401092133, 'concepts': [{""Surrey's strong batting performance"": {'avg': 0.7205669988341263, 'normalized_product': 0.673242277358056, 'min': 0.38669500401092133}}, {'Roy and Burns': {'avg': 0.903599156005118, 'normalized_product': 0.894003722059297, 'min': 0.7243085234538255}}, {'Middlesex': {'avg': 0.9485122150943184, 'normalized_product': 0.9457606262494512, 'min': 0.8482474003873053}}]}",0.0
"Summarize the following article in a single, short sentence:

<article>
Ms Kendall told the BBC Labour risked sending a ""resignation letter to the British people as a serious party of government"" by electing Mr Corbyn.
Separately, Ms Cooper warned there was a ""serious risk the party will split"" if the left-winger becomes its leader.
It comes as Labour begins sending out the first ballot papers to voters.
The result of the contest will be announced at a special conference on 12 September.
More than 600,000 people have signed up to vote in the four-way contest but Labour has said applications are still being verified.
610,753
total electorate, though this may fall as party removes those not entitled to vote
Of which, full party members:  299,755
Affiliated to a trade union:  189,703
Registered to vote by paying Â£3:  121,295
Meanwhile voting in the election for the new Scottish Labour leader ended at midday.
Mr Corbyn is due to unveil a 10-point policy plan while in Glasgow later.
The popularity of the left-wing Islington North MP, who is promising ""a new kind of politics"", has sparked a row about the future direction of the Labour party.
Another leadership contender, Andy Burnham, told the BBC Mr Corbyn's policies ""lack credibility"".
""It's not possible to promise free university education, re-nationalising the utilities, without that coming at a great cost and if you can't explain how that is going to be paid for then I don't think we'll win back the trust of voters on the economy,"" he said.
BBC political correspondent Ross Hawkins said there had been ""frustration"" in rival camps who accused Mr Burnham of being reluctant to take on Mr Corbyn. This appeared to be his most direct attack yet, he added.
But in an interview with Jeremy Vine on BBC Radio 2, Mr Burnham declined to follow Ms Kendall and Ms Cooper and advise his supporters not to back Mr Corbyn with their second and third preferences.
He added: ""People will say if they hear things like that, 'hang on, what do you believe?'""
In an interview with The Independent, Ms Kendall called for voters to mark Ms Cooper or Mr Burnham as second and third preferences, and avoid giving votes to Mr Corbyn.
""I have set out very clearly where I differ with all the candidates but our differences with Jeremy's kind of politics are far greater,"" said Ms Kendall.
Speaking on BBC Radio 4's Today programme she said she ""can't pretend to be agnostic"" about a victory for Mr Corbyn, saying of the voting process: ""It is an alternative vote system and I want to urge party members to use all of their different preferences.
""I will be using my second and third preferences and I would urge others to do the same because I don't want to see our party go back to the politics of the '80s, just being a party of protest.""
The Leicester West MP also said she did not see the party splitting, as it did in the 1980s when Labour members formed the Social Democratic Party.
However, Ms Cooper told BBC 2's Newsnight: ""I think there is a serious risk that the party will split, will polarise and I cannot bear to see that happen because there is too much at stake.""
Asked in an interview with grassroots Labour website Labourlist whether voters should use their votes to try to prevent Mr Corbyn winning, she said: ""I think people should use all of their preferences.
""And I think the focus has to be how do we make sure we can win that election, and that's the most important thing - and I don't think Jeremy can do that.""
Mr Corbyn has warned against ""personal abuse"" in the campaign, saying he wants to focus on policy.
His policy programme includes a commitment to ""growth not austerity"", nationalising the railways and energy sector, and a plan for nuclear disarmament.
In an essay for the Fabian Society he also suggested Labour's new increased following should be more involved in the party and proposed a review of membership fees to make the party more ""inclusive"".
Former Prime Minister Gordon Brown is expected to join the debate over the leadership contest with a speech on Sunday, called ""power for a purpose - the future of the Labour Party"".
Lance Price, former director of communications for Labour, told the BBC the contest had been an ""unedifying mess"" and had ""done nothing to reengage the labour party with those millions of people who deserted it"".
The Guardian newspaper has endorsed Ms Cooper for the leadership while the Daily Mirror has given its backing to Mr Burnham, although the paper urged him to ""find a role"" in his team for Mr Corbyn, who it says has ""lit up the election campaign"".
</article>",Labour leadership hopefuls Liz Kendall and Yvette Cooper have said their supporters should back anyone other than Jeremy Corbyn in the contest.,"(['Labour', ' faces', ' division', ' over', ' Corbyn', ""'s"", ' leadership', ' bid', ',', ' risking', ' party', ' split', '.'], [-0.035529546, -0.3330865, -1.2972357, -0.8945096, -0.8348764, -0.12592643, -0.027387483, -0.34891433, -0.57945, -0.02103531, -0.0671272, -0.08828772, -0.016280338], [0.9650942191349505, 0.7167081962153541, 0.2732861948856281, 0.4088080289487166, 0.43392811163317413, 0.8816797095736424, 0.9729841536526752, 0.7054535638880617, 0.5602063953671685, 0.9791843889582567, 0.9350762520725001, 0.9154974319048638, 0.983851470438007], ""Labour faces division over Corbyn's leadership bid, risking party split."")","(None, None, None, ""Labour Party faces division and risk with Corbyn's leadership bid."")","(None, None, None, 'Labour faces split and credibility risks with Corbyn as leader.')","(None, None, None, 'Labour faces potential split if Corbyn elected as leader.')","(None, None, None, ""Labour faces division and risk as Corbyn's leadership sparks debate and uncertainty."")","(None, None, None, 'Labour faces potential split with Corbyn as leader; leadership contenders warn of party division.')",-1.0,0.0228921647823881,0.3804383635520935,0.0,"{'avg': 0.7485967782056152, 'normalized_product': 0.698232189859069, 'min': 0.2732861948856281, 'concepts': [{'Labour': {'avg': 0.9650942191349505, 'normalized_product': 0.9650942191349505, 'min': 0.9650942191349505}}, {'division': {'avg': 0.2732861948856281, 'normalized_product': 0.2732861948856281, 'min': 0.2732861948856281}}, {""Corbyn's leadership bid"": {'avg': 0.7108503868229443, 'normalized_product': 0.6816009371100126, 'min': 0.43392811163317413}}, {'risking party split': {'avg': 0.9534023858434069, 'normalized_product': 0.9529597207127637, 'min': 0.9154974319048638}}]}",0.0
